rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,75,10,1996,10/13/1996,7,24-223,MIN,@,TAM,L 13-24,18,133,7.39,1,0,0,0,,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,0,3,0,22.3,
,75,11,1999,9/19/1999,2,27-199,MIN,,OAK,L 17-22,11,24,2.18,0,2,1,6,6,0,50.00%,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,
,75,12,2000,12/17/2000,15,28-288,MIN,,GNB,L 28-33,10,26,2.6,0,4,3,16,5.33,0,75.00%,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.2,
,75,13,1998,11/22/1998,11,26-263,MIN,,GNB,W 28-14,13,27,2.08,0,3,2,10,5,0,66.70%,3.33,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.7,
,75,14,1997,10/26/1997,8,25-236,MIN,@,TAM,W 10-6,11,30,2.73,0,2,2,10,5,0,100.00%,5,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,
,75,15,2000,12/24/2000,16,28-295,MIN,@,IND,L 10-31,15,37,2.47,0,3,1,3,3,0,33.30%,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,
,75,16,1998,9/20/1998,3,26-200,MIN,,DET,W 29-6,15,39,2.6,0,2,2,10,5,0,100.00%,5,,,,,,,,,,,,,,,,,,,,,,0,0,0,6.9,
,76,1,1989,10/15/1989,6,27-226,MIN,,GNB,W 26-14,18,148,8.22,0,,1,7,7,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,19.5,15.45625
,76,2,1991,12/8/1991,14,29-280,MIN,@,TAM,W 26-24,16,126,7.88,1,,0,0,,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,21.6,
,76,3,1991,9/8/1991,2,29-189,MIN,@,ATL,W 20-19,25,125,5,0,,2,2,1,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,17.7,
